Lemma,Part of Speech Code,Full Citation Form,BDAG Entry,Danker Entry,Dodson Entry,Mounce Entry,Strongs,GK,Dodson Part of Speech Code,Gloss,Mounce MorphCat,root,verbs,Part of Speech
ἑκατόν,A,ἑκατόν,ἑκατόν,ἑκατόν,ἑκατόν,ἑκατόν,1540,1669,A-NUI,one hundred,n-3g(2),,,Adjective
ἑκατονταετής,A,"ἑκατονταετής, ές",ἑκατονταετής,"ἑκατονταετής, ές","ἑκατονταέτης, ες",ἑκατονταετής,1541,1670,A,a hundred years old,a-4a,,,Adjective
ἑκατονταπλασίων,A,"ἑκατονταπλασίων, ον",ἑκατονταπλασίων,"ἑκατονταπλασίων, ον","ἑκατονταπλασίων, ον",ἑκατονταπλασίων,1542,1671,A,a hundredfold,a-4b(1),,,Adjective
ἑκατοντάρχης,N,"ἑκατοντάρχης, ου, ὁ",ἑκατοντάρχης,"ἑκατοντάρχης, ου / ἑκατόνταρχος, ου, ὁ","ἑκατοντάρχης, ου, ὁ",ἑκατοντάρχης,1543,1672,N:M,a centurion,n-1f,,,Noun
ἑκατόνταρχος,N,"ἑκατόνταρχος, ου, ὁ",ἑκατόνταρχος,"ἑκατοντάρχης, ου / ἑκατόνταρχος, ου, ὁ",,ἑκατόνταρχος,,1673,,,n-2a,,,Noun
ἐκβαίνω,V,,ἐκβαίνω,ἐκβαίνω,,ἐκβαίνω,,1674,,,cv-2d(6),,,Verb
ἐκβάλλω,V,,ἐκβάλλω,ἐκβάλλω,ἐκβάλλω,ἐκβάλλω,1544,1675,V,"I throw, cast, put out, banish, bring forth, produce",cv-2d(1),ἐκ + *βάλλ/*βαλ Liq 2Aor P3,"ἐκβαλῶ, ἐξέβαλον, ἐκβέβληκα, -, ἐξεβλήθην",Verb
ἔκβασις,N,"ἔκβασις, εως, ἡ",ἔκβασις,"ἔκβασις, εως, ἡ","ἔκβασις, εως, ἡ",ἔκβασις,1545,1676,N:F,"a way out, escape, result",n-3e(5b),,,Noun
ἐκβολή,N,"ἐκβολή, ῆς, ἡ",ἐκβολή,"ἐκβολή, ῆς, ἡ","ἐκβολή, ῆς, ἡ",ἐκβολή,1546,1678,N:F,"a throwing out, a jettisoning",n-1b,,,Noun
ἔκγονον,A,"ἔκγονος, ον",ἔκγονος,"ἔκγονος, ον","ἔκγονος, ον",ἔκγονος,1549,1681,A,"descended, a descendant",a-3a,,,Adjective
ἐκδαπανάομαι,V,,ἐκδαπανάω,ἐκδαπανάω,ἐκδαπανάω,ἐκδαπανάω,1550,1682,V,I spend completely,cv-1d(1a),,,Verb
ἐκδέχομαι,V,,ἐκδέχομαι,ἐκδέχομαι,ἐκδέχομαι,ἐκδέχομαι,1551,1683,V,"I wait for, expect",cv-1b(2),,,Verb
ἔκδηλος,A,"ἔκδηλος, ον",ἔκδηλος,"ἔκδηλος, ον","ἔκδηλος, ον",ἔκδηλος,1552,1684,A,"perfectly evident, manifest",a-3a,,,Adjective
ἐκδημέω,V,,ἐκδημέω,ἐκδημέω,ἐκδημέω,ἐκδημέω,1553,1685,V,"I go abroad, am absent",cv-1d(2a),,,Verb
ἐκδίδωμι,V,,ἐκδίδωμι,ἐκδίδωμι,ἐκδίδωμι,ἐκδίδωμι,1554,1686,V,"I give out, let, let out for my own advantage",cv-6a,,,Verb
ἐκδιηγέομαι,V,,ἐκδιηγέομαι,ἐκδιηγέομαι,ἐκδιηγέομαι,ἐκδιηγέομαι,1555,1687,V,"I narrate at length, declare",cv-,,,Verb
ἐκδικέω,V,,ἐκδικέω,ἐκδικέω,ἐκδικέω,ἐκδικέω,1556,1688,V,"I give justice over, defend, avenge, vindicate",cv-1d(2a),,,Verb
ἐκδίκησις,N,"ἐκδίκησις, εως, ἡ",ἐκδίκησις,"ἐκδίκησις, εως, ἡ","ἐκδίκησις, εως, ἡ",ἐκδίκησις,1557,1689,N:F,"a defense, vengeance, full punishment",n-3e(5b),,,Noun
ἔκδικος,A,"ἔκδικος, ον",ἔκδικος,"ἔκδικος, ον","ἔκδικος, ον",ἔκδικος,1558,1690,A,"avenging, an avenger",a-3a,,,Adjective
ἐκδιώκω,V,,ἐκδιώκω,ἐκδιώκω,ἐκδιώκω,ἐκδιώκω,1559,1691,V,"I persecute, expel by persecuting",cv-1b(2),,,Verb
ἔκδοτος,A,"ἔκδοτος, ον",ἔκδοτος,"ἔκδοτος, ον","ἔκδοτος, ον",ἔκδοτος,1560,1692,A,"given up, delivered up",a-3a,,,Adjective
ἐκδοχή,N,"ἐκδοχή, ῆς, ἡ",ἐκδοχή,"ἐκδοχή, ῆς, ἡ","ἐκδοχή, ῆς, ἡ",ἐκδοχή,1561,1693,N:F,"a waiting for, expectation",n-1b,,,Noun
ἐκδύω,V,,ἐκδύω,ἐκδύω,ἐκδύω,ἐκδύω,1562,1694,V,"I put off, take off, strip off",cv-3a(1),,,Verb
ἐκεῖ,D,,ἐκεῖ,ἐκεῖ,ἐκεῖ,ἐκεῖ,1563,1695,ADV,"there, yonder, thither",adverb,,,Adverb
ἐκεῖθεν,D,,ἐκεῖθεν,ἐκεῖθεν,ἐκεῖθεν,ἐκεῖθεν,1564,1696,ADV,"thence, from that place",adverb,,,Adverb
ἐκεῖνος,RD,,ἐκεῖνος,"ἐκεῖνος, η, ον","ἐκεῖνος, η, ο",ἐκεῖνος,1565,1697,D,"that, that one there, yonder",a-1a(2b),,,Pronoun - Demonstrative
ἐκεῖσε,D,,ἐκεῖσε,ἐκεῖσε,ἐκεῖσε,ἐκεῖσε,1566,1698,ADV,"thither, there",adverb,,,Adverb
ἐκζητέω,V,,ἐκζητέω,ἐκζητέω,ἐκζητέω,ἐκζητέω,1567,1699,V,"I seek out, require",cv-1d(2a),,,Verb
ἐκζήτησις,N,"ἐκζήτησις, εως, ἡ",ἐκζήτησις,"ἐκζήτησις, εως, ἡ",,ἐκζήτησις,,1700,,,n-3e(5b),,,Noun
ἐκθαμβέομαι,V,,ἐκθαμβέω,ἐκθαμβέω,ἐκθαμβέομαι,ἐκθαμβέω,1568,1701,V,I am greatly astonished,cv-1d(2a),,,Verb
ἔκθαμβος,A,"ἔκθαμβος, ον",ἔκθαμβος,"ἔκθαμβος, ον","ἔκθαμβος, ον",ἔκθαμβος,1569,1702,A,"full of astonishment, amazed",a-3a,,,Adjective
ἐκθαυμάζω,V,,ἐκθαυμάζω,ἐκθαυμάζω,,ἐκθαυμάζω,,1703,,,cv-2a(1),,,Verb
ἔκθετος,A,"ἔκθετος, ον",ἔκθετος,"ἔκθετος, ον","ἔκθετος, ον",ἔκθετος,1570,1704,A,"cast out, exposed",a-3a,,,Adjective
ἐκκαθαίρω,V,,ἐκκαθαίρω,ἐκκαθαίρω,ἐκκαθαίρω,ἐκκαθαίρω,1571,1705,V,"I clean out, clean thoroughly",cv-2d(2),,,Verb
ἐκκαίομαι,V,,ἐκκαίω,ἐκκαίω,ἐκκαίομαι,ἐκκαίω,1572,1706,V,I burn with lust,cv-2c,,,Verb
ἐκκεντέω,V,,ἐκκεντέω,ἐκκεντέω,ἐκκεντέω,ἐκκεντέω,1574,1708,V,"I pierce through, transfix",cv-1d(2a),,,Verb
ἐκκλάω,V,,ἐκκλάω,ἐκκλάω,ἐκκλάω,ἐκκλάω,1575,1709,V,I break off,cv-1d(1b),,,Verb
ἐκκλείω,V,,ἐκκλείω,ἐκκλείω,ἐκκλείω,ἐκκλείω,1576,1710,V,"I shut out, exclude",cv-1a(3),,,Verb
ἐκκλησία,N,"ἐκκλησία, ας, ἡ",ἐκκλησία,"ἐκκλησία, ας, ἡ","ἐκκλησία, ας, ἡ",ἐκκλησία,1577,1711,N:F,"an assembly, congregation, church",n-1a,,,Noun
ἐκκλίνω,V,,ἐκκλίνω,ἐκκλίνω,ἐκκλίνω,ἐκκλίνω,1578,1712,V,"I fall away from, turn away",cv-1c(2),,,Verb
ἐκκολυμβάω,V,,ἐκκολυμβάω,ἐκκολυμβάω,ἐκκολυμβάω,ἐκκολυμβάω,1579,1713,V,I swim out,cv-1d(1a),,,Verb
ἐκκομίζω,V,,ἐκκομίζω,ἐκκομίζω,ἐκκομίζω,ἐκκομίζω,1580,1714,V,I carry out,cv-2a(1),,,Verb
ἐκκόπτω,V,,ἐκκόπτω,ἐκκόπτω,ἐκκόπτω,ἐκκόπτω,1581,1716,V,"I cut out, cut off",cv-4,,,Verb
ἐκκρέμαμαι,V,,ἐκκρεμάννυμι,ἐκκρεμάννυμι,ἐκκρεμάννυμι,ἐκκρεμάννυμι,1582,1717,V,"I hang out, hang upon",cv-3c(1),,,Verb
ἐκλαλέω,V,,ἐκλαλέω,ἐκλαλέω,ἐκλαλέω,ἐκλαλέω,1583,1718,V,"I speak out, disclose",cv-1d(2a),,,Verb
ἐκλάμπω,V,,ἐκλάμπω,ἐκλάμπω,ἐκλάμπω,ἐκλάμπω,1584,1719,V,I shine forth,cv-1b(1),,,Verb
ἐκλανθάνω,V,,ἐκλανθάνομαι,ἐκλανθάνω,ἐκλανθάνομαι,ἐκλανθάνομαι,1585,1720,V,I forget entirely,cv-3a(2b),,,Verb
ἐκλέγομαι,V,,ἐκλέγομαι,ἐκλέγω,ἐκλέγομαι,ἐκλέγομαι,1586,1721,V,"I choose, elect",cv-1b(2),,,Verb
ἐκλείπω,V,,ἐκλείπω,ἐκλείπω,ἐκλείπω,ἐκλείπω,1587,1722,V,"I fail utterly, cease, die",cv-1b(1),,,Verb
ἐκλεκτός,A,"ἐκλεκτός, ή, όν",ἐκλεκτός,"ἐκλεκτός, ή, όν","ἐκλεκτός, ή, όν",ἐκλεκτός,1588,1723,A,"chosen, elect, choice, select",a-1a(2a),,,Adjective
ἐκλογή,N,"ἐκλογή, ῆς, ἡ",ἐκλογή,"ἐκλογή, ῆς, ἡ","ἐκλογή, ῆς, ἡ",ἐκλογή,1589,1724,N:F,"a choosing out, selecting, choice by God",n-1b,,,Noun
ἐκλύομαι,V,,ἐκλύω,ἐκλύω,ἐκλύω,ἐκλύω,1590,1725,V,"I am unstrung, become weak, fail",cv-1a(4),,,Verb
ἐκμάσσω,V,,ἐκμάσσω,ἐκμάσσω,ἐκμάσσω,ἐκμάσσω,1591,1726,V,"I wipe, wipe off thoroughly",cv-2b,,,Verb
ἐκμυκτηρίζω,V,,ἐκμυκτηρίζω,ἐκμυκτηρίζω,ἐκμυκτηρίζω,ἐκμυκτηρίζω,1592,1727,V,"I deride, scoff at, mock greatly",cv-2a(1),,,Verb
ἐκνεύω,V,,ἐκνεύω,ἐκνεύω,ἐκνεύω,ἐκνεύω,1593,1728,V,"I retire, withdraw",cv-1a(6),,,Verb
ἐκνήφω,V,,ἐκνήφω,ἐκνήφω,ἐκνήφω,ἐκνήφω,1594,1729,V,I return to soberness of mind,cv-1b(1),,,Verb
ἑκούσιος,A,"ἑκούσιος, α, ον",ἑκούσιος,"ἑκούσιος, α, ον","ἑκούσιος, ία, ιον",ἑκούσιος,1595,1730,A,"willing, voluntary, spontaneous",a-1a(1),,,Adjective
ἑκουσίως,D,,ἑκουσίως,ἑκουσίως,ἑκουσίως,ἑκουσίως,1596,1731,ADV,willingly,adverb,,,Adverb
ἔκπαλαι,D,,ἔκπαλαι,ἔκπαλαι,ἔκπαλαι,ἔκπαλαι,1597,1732,ADV,"from of old, long since",adverb,,,Adverb
ἐκπειράζω,V,,ἐκπειράζω,ἐκπειράζω,ἐκπειράζω,ἐκπειράζω,1598,1733,V,"I put to the test, make trial of, tempt",cv-2a(1),,,Verb
ἐκπέμπω,V,,ἐκπέμπω,ἐκπέμπω,ἐκπέμπω,ἐκπέμπω,1599,1734,V,I send out,cv-1b(1),,,Verb
ἐκπερισσῶς,D,,ἐκπερισσῶς,ἐκπερισσῶς,,ἐκπερισσῶς,,1735,,,adverb,,,Adverb
ἐκπετάννυμι,V,,ἐκπετάννυμι,ἐκπετάννυμι,ἐκπετάννυμι,ἐκπετάννυμι,1600,1736,V,I spread or stretch out,cv-3c(1),,,Verb
ἐκπηδάω,V,,ἐκπηδάω,ἐκπηδάω,,ἐκπηδάω,,1737,,,cv-1d(1a),,,Verb
ἐκπίπτω,V,,ἐκπίπτω,ἐκπίπτω,ἐκπίπτω,ἐκπίπτω,1601,1738,V,"I fall out, fall off, fall away, fade away, wither away",cv-1b(3),,,Verb
ἐκπλέω,V,,ἐκπλέω,ἐκπλέω,ἐκπλέω,ἐκπλέω,1602,1739,V,"I sail out, sail away",cv-1a(7),,,Verb
ἐκπληρόω,V,,ἐκπληρόω,ἐκπληρόω,ἐκπληρόω,ἐκπληρόω,1603,1740,V,"I fill completely, fulfill in every particular",cv-1d(3),,,Verb
ἐκπλήρωσις,N,"ἐκπλήρωσις, εως, ἡ",ἐκπλήρωσις,"ἐκπλήρωσις, εως, ἡ","ἐκπλήρωσις, εως, ἡ",ἐκπλήρωσις,1604,1741,N:F,"completion, fulfillment",n-3e(5b),,,Noun
ἐκπλήσσομαι,V,,ἐκπλήσσω,ἐκπλήσσω,ἐκπλήσσω,ἐκπλήσσω,1605,1742,V,"I am thunderstruck, astounded",cv-2b,,,Verb
ἐκπνέω,V,,ἐκπνέω,ἐκπνέω,ἐκπνέω,ἐκπνέω,1606,1743,V,"I breathe my last, expire",cv-1a(7),,,Verb
ἐκπορεύομαι,V,,ἐκπορεύομαι,ἐκπορεύομαι,ἐκπορεύομαι,ἐκπορεύομαι,1607,1744,V,"I journey out, come forth",cv-1a(6),,,Verb
ἐκπορνεύω,V,,ἐκπορνεύω,ἐκπορνεύω,ἐκπορνεύω,ἐκπορνεύω,1608,1745,V,I am guilty of fornication,cv-1a(6),,,Verb
ἐκπτύω,V,,ἐκπτύω,ἐκπτύω,ἐκπτύω,ἐκπτύω,1609,1746,V,"I spit upon, disdain, reject, loathe",cv-1a(4),,,Verb
ἐκριζόω,V,,ἐκριζόω,ἐκριζόω,ἐκριζόω,ἐκριζόω,1610,1748,V,"I root out, root up",cv-1d(3),,,Verb
ἔκστασις,N,"ἔκστασις, εως, ἡ",ἔκστασις,"ἔκστασις, εως, ἡ","ἔκστασις, εως, ἡ",ἔκστασις,1611,1749,N:F,"bewilderment, amazement",n-3e(5b),,,Noun
ἐκστρέφομαι,V,,ἐκστρέφω,ἐκστρέφω,ἐκστρέφω,ἐκστρέφω,1612,1750,V,"I change for the worse, corrupt, pervert",cv-1b(1),,,Verb
ἐκταράσσω,V,,ἐκταράσσω,ἐκταράσσω,ἐκταράσσω,ἐκταράσσω,1613,1752,V,I disturb greatly,cv-2b,,,Verb
ἐκτείνω,V,,ἐκτείνω,ἐκτείνω,ἐκτείνω,ἐκτείνω,1614,1753,V,"I stretch out, cast forth",cv-2d(5),,,Verb
ἐκτελέω,V,,ἐκτελέω,ἐκτελέω,ἐκτελέω,ἐκτελέω,1615,1754,V,"I complete, perform",cv-1d(2b),,,Verb
ἐκτένεια,N,"ἐκτένεια, ας, ἡ",ἐκτένεια,"ἐκτένεια, ας, ἡ","ἐκτένεια, ας, ἡ",ἐκτένεια,1616,1755,N:F,"earnestness, strenuousness, intentness",n-1a,,,Noun
ἐκτενέστερον,A/ADV-C?,,,ἐκτενέστερον,ἐκτενέστερον,ἐκτενῶς,1617,1757,ADV,more earnestly,adverb,,,Adjective
ἐκτενής,A,"ἐκτενής, ές",ἐκτενής,"ἐκτενής, ές","ἐκτενής, ές",ἐκτενής,1618,1756,A,"intent, constant, strenuous, intense",a-4a,,,Adjective
ἐκτενῶς,D,,ἐκτενῶς,ἐκτενῶς,ἐκτενῶς,ἐκτενῶς,1619,1757,ADV,"earnestly, strenuously",adverb,,,Adverb
ἐκτίθημι,V,,ἐκτίθημι,ἐκτίθημι,ἐκτίθημι,ἐκτίθημι,1620,1758,V,"I put out or expose a child, set forth, explain",cv-6a,,,Verb
ἐκτινάσσω,V,,ἐκτινάσσω,ἐκτινάσσω,ἐκτινάσσω,ἐκτινάσσω,1621,1759,V,I shake off,cv-2b,,,Verb
ἐκτός,D,,ἐκτός,ἐκτός,ἐκτός,ἐκτός,1622,1760,ADV,"without, outside, except, the outside, apart from",adverb,,,Adverb
ἕκτος,A,"ἕκτος, η, ον",ἕκτος,"ἕκτος, η, ον","ἕκτος, η, ον",ἕκτος,1623,1761,A,sixth,a-1a(2a),,,Adjective
ἐκτρέπομαι,V,,ἐκτρέπω,ἐκτρέπω,ἐκτρέπω,ἐκτρέπω,1624,1762,V,"I turn aside, wander, forsake",cv-1b(1),,,Verb
ἐκτρέφω,V,,ἐκτρέφω,ἐκτρέφω,ἐκτρέφω,ἐκτρέφω,1625,1763,V,"I nourish, nurture, bring up",cv-1b(1),,,Verb
ἔκτρωμα,N,"ἔκτρωμα, ατος, τό",ἔκτρωμα,"ἔκτρωμα, ατος, τό","ἔκτρωμα, ατος, τό",ἔκτρωμα,1626,1765,N:N,an untimely birth,n-3c(4),,,Noun
ἐκφέρω,V,,ἐκφέρω,ἐκφέρω,ἐκφέρω,ἐκφέρω,1627,1766,V,"I bring out, carry out",cv-1c(1),,,Verb
ἐκφεύγω,V,,ἐκφεύγω,ἐκφεύγω,ἐκφεύγω,ἐκφεύγω,1628,1767,V,"I flee out, away, I escape",cv-1b(2),,,Verb
ἐκφοβέω,V,,ἐκφοβέω,ἐκφοβέω,ἐκφοβέω,ἐκφοβέω,1629,1768,V,I terrify exceedingly,cv-1d(2a),,,Verb
ἔκφοβος,A,"ἔκφοβος, ον",ἔκφοβος,"ἔκφοβος, ον","ἔκφοβος, ον",ἔκφοβος,1630,1769,A,greatly terrified,a-3a,,,Adjective
ἐκφύω,V,,ἐκφύω,ἐκφύω,ἐκφύω,ἐκφύω,1631,1770,V,"I put forth, cause to sprout",cv-1a(4),,,Verb
ἐκχέω,V,,ἐκχέω,ἐκχέω/ἐκχύν(ν)ω,ἐκχέω,ἐκχέω,1632,1772,V,"I pour out, shed",cv-1a(7),,,Verb
ἐκχωρέω,V,,ἐκχωρέω,ἐκχωρέω,ἐκχωρέω,ἐκχωρέω,1633,1774,V,"I go out, depart from",cv-1d(2a),,,Verb
ἐκψύχω,V,,ἐκψύχω,ἐκψύχω,ἐκψύχω,ἐκψύχω,1634,1775,V,"I breathe my last, die, expire",cv-1b(2),,,Verb
ἑκών,A,"ἑκών, οῦσα, όν",ἑκών,"ἑκών, οῦσα, όν","ἑκών, ἑκοῦσα, ἑκόν",ἑκών,1635,1776,A,"willing, willingly",a-2a,,,Adjective
ἐλαία,N,"ἐλαία, ας, ἡ",ἐλαία,"ἐλαία, ας, ἡ","ἐλαία, ας, ἡ",ἐλαία,1636,1777,N:F,an olive tree,n-1a,,,Noun
ἔλαιον,N,"ἔλαιον, ου, τό",ἔλαιον,"ἔλαιον, ου, τό","ἔλαιον, ου, τό",ἔλαιον,1637,1778,N:N,olive oil,n-2c,,,Noun
ἐλαιών,N,"ἐλαιών, ῶνος, ὁ",ἐλαιών,"ἐλαιών, ῶνος, ὁ","Ἐλαιών, ῶνος, ὁ",ἐλαιών,1638,1779,N:M,"Olive-grove, Olive-yard, the mount Olivet",n-3f(1a),,,Noun
Ἐλαμίτης,N,"Ἐλαμίτης, ου, ὁ",Ἐλαμίτης,"Ἐλαμίτης, ου, ὁ","Ἐλαμίτης, ου, ὁ",Ἐλαμίτης,1639,1780,N:M,an Elamite,n-1f,,,Noun
ἐλάσσων,A,ἐλάσσων/ἔλασσον,ἐλάσσων,ἐλάσσων/ἔλασσον,"ἐλάσσων, ον",ἐλάσσων,1640,1781,A,"less, smaller, inferior",a-4b(1),,,Adjective
ἐλαττονέω,V,,ἐλαττονέω,ἐλαττονέω,ἐλαττονέω,ἐλαττονέω,1641,1782,V,"I have less, lack",v-1d(2a),,,Verb
ἐλαττόω,V,,ἐλαττόω,ἐλαττόω,ἐλαττόω,ἐλαττόω,1642,1783,V,"I make less, make inferior",v-1d(3),,,Verb
ἐλαύνω,V,,ἐλαύνω,ἐλαύνω,ἐλαύνω,ἐλαύνω,1643,1785,V,"I drive on, propel, row",v-3c(2),,,Verb
ἐλαφρία,N,"ἐλαφρία, ας, ἡ",ἐλαφρία,"ἐλαφρία, ας, ἡ","ἐλαφρία, ας, ἡ",ἐλαφρία,1644,1786,N:F,"levity, fickleness",n-1a,,,Noun
ἐλαφρός,A,"ἐλαφρός, ά, όν",ἐλαφρός,"ἐλαφρός, ά, όν","ἐλαφρός, ά, όν",ἐλαφρός,1645,1787,A,"light, not burdensome",a-1a(1),,,Adjective
ἐλάχιστος,A,"ἐλάχιστος, η, ον",ἐλάχιστος,"ἐλάχιστος, η, ον","ἐλάχιστος, ίστη, ιστον",ἐλάχιστος,1646,1788,A,"least, smallest, very little",a-1a(2a),,,Adjective
Ἐλεάζαρ,N,"Ἐλεάζαρ, ὁ",Ἐλεάζαρ,"Ἐλεάζαρ, ὁ","Ἐλεάζαρ, ὁ",Ἐλεάζαρ,1648,1789,N-PRI,Eleazar,n-3g(2),,,Noun
ἐλεάω,V,,ἐλεάω,ἐλεάω,,ἐλεάω,,1790,,,v-1d(1a),,,Verb
ἐλεγμός,N,"ἐλεγμός, οῦ, ὁ",ἐλεγμός,"ἐλεγμός, οῦ, ὁ",,ἐλεγμός,,1791,,,n-2a,,,Noun
ἔλεγξις,N,"ἔλεγξις, εως, ἡ",ἔλεγξις,"ἔλεγξις, εως, ἡ","ἔλεγξις, εως, ἡ",ἔλεγξις,1649,1792,N:F,"rebuke, reproof, refutation",n-3e(5b),,,Noun
ἔλεγχος,N,"ἔλεγχος, ου, ὁ",ἔλεγχος,"ἔλεγχος, ου, ὁ","ἔλεγχος, ου, ὁ",ἔλεγχος,1650,1793,N:M,"a proof, persuasion, reproof",n-2a,,,Noun
ἐλέγχω,V,,ἐλέγχω,ἐλέγχω,ἐλέγχω,ἐλέγχω,1651,1794,V,"I rebuke, expose",v-1b(2),,,Verb
ἐλεεινός,A,"ἐλεεινός, ή, όν",ἐλεεινός,"ἐλεεινός, ή, όν","ἐλεεινός, ή, όν",ἐλεεινός,1652,1795,A,"merciful, pitiful",a-1a(2a),,,Adjective
ἐλεημοσύνη,N,"ἐλεημοσύνη, ης, ἡ",ἐλεημοσύνη,"ἐλεημοσύνη, ης, ἡ","ἐλεημοσύνη, ῆς, ἡ",ἐλεημοσύνη,1654,1797,N:F,"alms-giving, charity",n-1b,,,Noun
ἐλεήμων,A,"ἐλεήμων, ον, gen. ονος",ἐλεήμων,"ἐλεήμων, ον, gen. ονος","ἐλεήμων, ον",ἐλεήμων,1655,1798,A,"full of pity, merciful",a-4b(1),,,Adjective
ἔλεος,N,"ἔλεος, ους, τό",ἔλεος,"ἔλεος, ους, τό","ἔλεος, ους, τό",ἔλεος,1656,1799,"N:M,N:N","pity, mercy",n-3d(2b),,,Noun
ἐλευθερία,N,"ἐλευθερία, ας, ἡ",ἐλευθερία,"ἐλευθερία, ας, ἡ","ἐλευθερία, ας, ἡ",ἐλευθερία,1657,1800,N:F,"freedom, liberty",n-1a,,,Noun
ἐλεύθερος,A,"ἐλεύθερος, α, ον",ἐλεύθερος,"ἐλεύθερος, α, ον","ἐλεύθερος, έρα, ερον",ἐλεύθερος,1658,1801,A,"free, delivered from obligation",a-1a(1),,,Adjective
ἐλευθερόω,V,,ἐλευθερόω,ἐλευθερόω,ἐλευθερόω,ἐλευθερόω,1659,1802,V,"I free, set free, liberate",v-1d(3),,,Verb
ἔλευσις,N,"ἔλευσις, εως, ἡ",ἔλευσις,"ἔλευσις, εως, ἡ","ἔλευσις, εως, ἡ",ἔλευσις,1660,1803,N:F,"a coming, arrival, advent",n-3e(5a),,,Noun
ἐλεφάντινος,A,"ἐλεφάντινος, η, ον",ἐλεφάντινος,"ἐλεφάντινος, η, ον","ἐλεφάντινος, η, ον",ἐλεφάντινος,1661,1804,A,made of ivory,a-1a(2a),,,Adjective
Ἐλιακίμ,N,"Ἐλιακίμ, ὁ",Ἐλιακίμ,"Ἐλιακίμ/Ἐλιακείμ, ὁ","Ἐλιακείμ, ὁ",Ἐλιακίμ,1662,1806,N-PRI,Eliakim,n-3g(2),,,Noun
Ἐλιέζερ,N,"Ἐλιέζερ, ὁ",Ἐλιέζερ,"Ἐλιέζερ, ὁ","Ἐλιέζερ, ὁ",Ἐλιέζερ,1663,1808,N-PRI,Eliezer,n-3g(2),,,Noun
Ἐλιούδ,N,"Ἐλιούδ, ὁ",Ἐλιούδ,"Ἐλιούδ, ὁ","Ἐλιούδ, ὁ",Ἐλιούδ,1664,1809,N-PRI,Eliud,n-3g(2),,,Noun
Ἐλισάβετ,N,"Ἐλισάβετ, ἡ",Ἐλισάβετ,"Ἐλισάβετ, ἡ","Ἐλισάβετ, ἡ",Ἐλισάβετ,1665,1810,N-PRI,Elisabeth,n-3g(2),,,Noun
Ἐλισαῖος,N,"Ἐλισαῖος, ου, ὁ",Ἐλισαῖος,"Ἐλισαῖος, ου, ὁ","Ἐλισσαῖος, ου, ὁ",Ἐλισαῖος,1666,1811,N:M,Elisha,n-2a,,,Noun
ἑλίσσω,V,,ἑλίσσω,ἑλίσσω,ἑλίσσω,ἑλίσσω,1667,1813,V,"I roll, roll up",v-2b,,,Verb
ἑλκόομαι,V,,ἑλκόω,ἑλκόω,ἑλκόω,ἑλκόω,1669,1815,V,I afflict with sores,v-1d(3),,,Verb
ἕλκος,N,"ἕλκος, ους, τό",ἕλκος,"ἕλκος, ους, τό","ἕλκος, ους, τό",ἕλκος,1668,1814,N:N,a festering sore,n-3d(2b),,,Noun
ἕλκω,V,,ἕλκω,ἑλκύω/ἕλκω,,ἑλκύω,,1816,,,,,,Verb
Ἑλλάς,N,"Ἑλλάς, άδος, ἡ",Ἑλλάς,"Ἑλλάς, άδος, ἡ","Ἑλλάς, άδος, ἡ",Ἑλλάς,1671,1817,N:F,"Hellas, Greece",n-3c(2),,,Noun
Ἕλλην,N,"Ἕλλην, ηνος, ὁ",Ἕλλην,"Ἕλλην, ηνος, ὁ","Ἕλλην, ηνος, ὁ",Ἕλλην,1672,1818,N:M,"a Hellene, a Greek",n-3f(1a),,,Noun
Ἑλληνικός,A,"Ἑλληνικός, ή, όν",Ἑλληνικός,"Ἑλληνικός, ή, όν","Ἑλληνικός, ή, όν",Ἑλληνικός,1673,1819,A,"Greek, the Greek language",a-1a(2a),,,Adjective
Ἑλληνίς,N,"Ἑλληνίς, ίδος, ἡ",Ἑλληνίς,"Ἑλληνίς, ίδος, ἡ","Ἑλληνίς, ίδος, ἡ",Ἑλληνίς,1674,1820,N:F,a female Greek,n-3c(2),,,Noun
Ἑλληνιστής,N,"Ἑλληνιστής, οῦ, ὁ",Ἑλληνιστής,"Ἑλληνιστής, οῦ, ὁ","Ἑλληνιστής, ου, ὁ",Ἑλληνιστής,1675,1821,N:M,"a Hellenist, Grecian Jew",n-1f,,,Noun
Ἑλληνιστί,D,,Ἑλληνιστί,Ἑλληνιστί,Ἑλληνιστί,Ἑλληνιστί,1676,1822,ADV,in the Greek language,adverb,,,Adverb
ἐλλογέω,V,,ἐλλογέω,ἐλλογέω/ἐλλογάω,ἐλλογέω,ἐλλογέω,1677,1824,V,"I charge to, put to one's account",cv-,,,Verb
Ἐλμαδάμ,N,"Ἐλμαδάμ, ὁ",Ἐλμαδάμ,"Ἐλμαδάμ, ὁ","Ἐλμωδάμ, ὁ",Ἐλμαδάμ,1678,1825,N-PRI,Elmadam,n-3g(2),,,Noun
ἐλπίζω,V,,ἐλπίζω,ἐλπίζω,ἐλπίζω,ἐλπίζω,1679,1827,V,"I hope, hope for, expect",v-2a(1),,,Verb
ἐλπίς,N,"ἐλπίς, ίδος, ἡ",ἐλπίς,"ἐλπίς, ίδος, ἡ","ἐλπίς, ίδος, ἡ",ἐλπίς,1680,1828,N:F,"hope, expectation",n-3c(2),,,Noun
